[2026-04-15 15:39:26,007] 18 root - INFO - Initiate the data ingestion
[2026-04-15 15:39:27,495] 71 root - INFO - Performed train test split on the dataframe
[2026-04-15 15:39:27,495] 73 root - INFO - Exited split_data_as_train_test method of Data INgestion Class
[2026-04-15 15:39:27,495] 78 root - INFO - Exporting train and test file path
[2026-04-15 15:39:27,526] 87 root - INFO - Exported train and test file path
[2026-04-15 15:39:27,527] 21 root - INFO - Data ingestion completed
[2026-04-15 15:39:27,529] 26 root - INFO - Initiate the data Validation
[2026-04-15 15:39:27,540] 35 root - INFO - Required number of columns:2
[2026-04-15 15:39:27,540] 36 root - INFO - Dataframe has columns:31
[2026-04-15 15:39:27,540] 35 root - INFO - Required number of columns:2
[2026-04-15 15:39:27,540] 36 root - INFO - Dataframe has columns:31
[2026-04-15 15:39:27,626] 28 root - INFO - data Validation completed
[2026-04-15 15:39:27,626] 33 root - INFO - Data Transformation Started
[2026-04-15 15:39:27,626] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation Class
[2026-04-15 15:39:27,626] 65 root - INFO - Starting Data Transformation
[2026-04-15 15:39:27,635] 48 root - INFO - Entered get_data_transformer_object method of Trnasformation class
[2026-04-15 15:39:27,636] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-04-15 15:39:27,640] 45 root - INFO - Entered the save_object method of MainUtils class
[2026-04-15 15:39:27,644] 49 root - INFO - Exited the save_object method of MainUtils class
[2026-04-15 15:39:27,644] 37 root - INFO - Data Transformation Completed
[2026-04-15 15:39:27,644] 39 root - INFO - Model Training sstared
