[2026-04-15 15:35:32,511] 18 root - INFO - Initiate the data ingestion
[2026-04-15 15:35:34,215] 71 root - INFO - Performed train test split on the dataframe
[2026-04-15 15:35:34,215] 73 root - INFO - Exited split_data_as_train_test method of Data INgestion Class
[2026-04-15 15:35:34,215] 78 root - INFO - Exporting train and test file path
[2026-04-15 15:35:34,250] 87 root - INFO - Exported train and test file path
[2026-04-15 15:35:34,250] 21 root - INFO - Data ingestion completed
[2026-04-15 15:35:34,252] 26 root - INFO - Initiate the data Validation
[2026-04-15 15:35:34,264] 35 root - INFO - Required number of columns:2
[2026-04-15 15:35:34,264] 36 root - INFO - Dataframe has columns:31
[2026-04-15 15:35:34,264] 35 root - INFO - Required number of columns:2
[2026-04-15 15:35:34,264] 36 root - INFO - Dataframe has columns:31
[2026-04-15 15:35:34,344] 28 root - INFO - data Validation completed
[2026-04-15 15:35:34,344] 33 root - INFO - Data Transformation Started
[2026-04-15 15:35:34,344] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation Class
[2026-04-15 15:35:34,344] 65 root - INFO - Starting Data Transformation
[2026-04-15 15:35:34,355] 48 root - INFO - Entered get_data_transformer_object method of Trnasformation class
[2026-04-15 15:35:34,355] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-04-15 15:35:34,360] 45 root - INFO - Entered the save_object method of MainUtils class
[2026-04-15 15:35:34,362] 49 root - INFO - Exited the save_object method of MainUtils class
[2026-04-15 15:35:34,362] 37 root - INFO - Data Transformation Completed
[2026-04-15 15:35:34,362] 39 root - INFO - Model Training sstared
