[2026-04-15 00:41:02,821] 16 root - INFO - Initiate the data ingestion
[2026-04-15 00:41:14,857] 71 root - INFO - Performed train test split on the dataframe
[2026-04-15 00:41:14,857] 73 root - INFO - Exited split_data_as_train_test method of Data INgestion Class
[2026-04-15 00:41:14,857] 78 root - INFO - Exporting train and test file path
[2026-04-15 00:41:14,888] 87 root - INFO - Exported train and test file path
[2026-04-15 00:41:14,889] 19 root - INFO - Data ingestion completed
[2026-04-15 00:41:14,891] 24 root - INFO - Initiate the data Validation
[2026-04-15 00:41:14,902] 35 root - INFO - Required number of columns:2
[2026-04-15 00:41:14,902] 36 root - INFO - Dataframe has columns:31
[2026-04-15 00:41:14,902] 35 root - INFO - Required number of columns:2
[2026-04-15 00:41:14,902] 36 root - INFO - Dataframe has columns:31
[2026-04-15 00:41:14,996] 26 root - INFO - data Validation completed
[2026-04-15 00:41:14,996] 29 root - INFO - Data Transformation Started
[2026-04-15 00:41:14,996] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation Class
[2026-04-15 00:41:14,996] 65 root - INFO - Starting Data Transformation
[2026-04-15 00:41:15,006] 48 root - INFO - Entered get_data_transformer_object method of Trnasformation class
[2026-04-15 00:41:15,006] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
