[2026-04-15 00:44:44,046] 16 root - INFO - Initiate the data ingestion
[2026-04-15 00:44:54,241] 71 root - INFO - Performed train test split on the dataframe
[2026-04-15 00:44:54,241] 73 root - INFO - Exited split_data_as_train_test method of Data INgestion Class
[2026-04-15 00:44:54,242] 78 root - INFO - Exporting train and test file path
[2026-04-15 00:44:54,278] 87 root - INFO - Exported train and test file path
[2026-04-15 00:44:54,278] 19 root - INFO - Data ingestion completed
[2026-04-15 00:44:54,281] 24 root - INFO - Initiate the data Validation
[2026-04-15 00:44:54,294] 35 root - INFO - Required number of columns:2
[2026-04-15 00:44:54,294] 36 root - INFO - Dataframe has columns:31
[2026-04-15 00:44:54,294] 35 root - INFO - Required number of columns:2
[2026-04-15 00:44:54,294] 36 root - INFO - Dataframe has columns:31
[2026-04-15 00:44:54,392] 26 root - INFO - data Validation completed
[2026-04-15 00:44:54,392] 29 root - INFO - Data Transformation Started
[2026-04-15 00:44:54,392] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation Class
[2026-04-15 00:44:54,392] 65 root - INFO - Starting Data Transformation
[2026-04-15 00:44:54,403] 48 root - INFO - Entered get_data_transformer_object method of Trnasformation class
[2026-04-15 00:44:54,403] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-04-15 00:44:54,407] 45 root - INFO - Entered the save_object method of MainUtils class
[2026-04-15 00:44:54,410] 49 root - INFO - Exited the save_object method of MainUtils class
[2026-04-15 00:44:54,411] 33 root - INFO - Data Transformation Completed
