[2026-04-15 15:38:28,318] 18 root - INFO - Initiate the data ingestion
[2026-04-15 15:38:31,374] 71 root - INFO - Performed train test split on the dataframe
[2026-04-15 15:38:31,374] 73 root - INFO - Exited split_data_as_train_test method of Data INgestion Class
[2026-04-15 15:38:31,374] 78 root - INFO - Exporting train and test file path
[2026-04-15 15:38:31,408] 87 root - INFO - Exported train and test file path
[2026-04-15 15:38:31,408] 21 root - INFO - Data ingestion completed
[2026-04-15 15:38:31,410] 26 root - INFO - Initiate the data Validation
[2026-04-15 15:38:31,421] 35 root - INFO - Required number of columns:2
[2026-04-15 15:38:31,421] 36 root - INFO - Dataframe has columns:31
[2026-04-15 15:38:31,421] 35 root - INFO - Required number of columns:2
[2026-04-15 15:38:31,421] 36 root - INFO - Dataframe has columns:31
[2026-04-15 15:38:31,516] 28 root - INFO - data Validation completed
[2026-04-15 15:38:31,516] 33 root - INFO - Data Transformation Started
[2026-04-15 15:38:31,516] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation Class
[2026-04-15 15:38:31,516] 65 root - INFO - Starting Data Transformation
[2026-04-15 15:38:31,526] 48 root - INFO - Entered get_data_transformer_object method of Trnasformation class
[2026-04-15 15:38:31,526] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-04-15 15:38:31,530] 45 root - INFO - Entered the save_object method of MainUtils class
[2026-04-15 15:38:31,531] 49 root - INFO - Exited the save_object method of MainUtils class
[2026-04-15 15:38:31,533] 37 root - INFO - Data Transformation Completed
[2026-04-15 15:38:31,533] 39 root - INFO - Model Training sstared
